Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,2391,2148,999,50238.121094,0.019885
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,2391,2148,999,50238.121094,0.019885
2,1000,0.1,0.2,50.0,1000,110550,5477,587,49642.796875,0.011824
3,1000,0.1,0.2,50.0,1000,92157,5077,636,49180.121094,0.012932
4,1000,0.1,0.2,50.0,1000,2418,2189,999,50284.984375,0.019867
5,1000,0.1,0.2,50.0,1000,2309,2095,999,50338.328125,0.019846
6,1000,0.1,0.2,50.0,1000,2307,2108,999,50879.195312,0.019635
7,1000,0.1,0.2,50.0,1000,2384,2134,999,50498.828125,0.019783
8,1000,0.1,0.2,50.0,1000,2452,2225,999,49201.835938,0.020304
9,1000,0.1,0.2,50.0,1000,2537,2260,999,49282.808594,0.020271
10,1000,0.1,0.2,50.0,1000,148227,6657,436,49750.757812,0.008764
